seed1,seed2,Data_Loss,Physics_Loss,BC_Loss,E_max_diff,R2,x,w_exact,w_measured,w_pred,E_pred
9,78,6.268422112043481e-06,4.985168743587565e-06,9.760707143868785e-06,0.0,0.9959969584775235,0.0,0.0,-0.005988590068946416,-0.00055369345,210000000000.0
9,78,6.268422112043481e-06,4.985168743587565e-06,9.760707143868785e-06,0.0,0.9959969584775235,0.05050505,7.5405565e-05,0.0018868923984829838,-0.0005632506,210000000000.0
9,78,6.268422112043481e-06,4.985168743587565e-06,9.760707143868785e-06,0.0,0.9959969584775235,0.1010101,0.00029959288,-0.012055560883476066,-0.00041893995,210000000000.0
9,78,6.268422112043481e-06,4.985168743587565e-06,9.760707143868785e-06,0.0,0.9959969584775235,0.15151516,0.0006695412,0.005563614880557407,-0.00012368851,210000000000.0
9,78,6.268422112043481e-06,4.985168743587565e-06,9.760707143868785e-06,0.0,0.9959969584775235,0.2020202,0.0011822605,0.009711603162326261,0.00031908887,210000000000.0
9,78,6.268422112043481e-06,4.985168743587565e-06,9.760707143868785e-06,0.0,0.9959969584775235,0.25252524,0.001834792,-0.001541362861119474,0.0009066204,210000000000.0
9,78,6.268422112043481e-06,4.985168743587565e-06,9.760707143868785e-06,0.0,0.9959969584775235,0.3030303,0.0026242083,0.005835324361140017,0.0016356242,210000000000.0
9,78,6.268422112043481e-06,4.985168743587565e-06,9.760707143868785e-06,0.0,0.9959969584775235,0.35353535,0.0035476112,0.005419388789075857,0.0025032621,210000000000.0
9,78,6.268422112043481e-06,4.985168743587565e-06,9.760707143868785e-06,0.0,0.9959969584775235,0.4040404,0.0046021366,0.001660551747942254,0.0035063853,210000000000.0
9,78,6.268422112043481e-06,4.985168743587565e-06,9.760707143868785e-06,0.0,0.9959969584775235,0.45454547,0.0057849484,-0.0006479759889815401,0.004642288,210000000000.0
9,78,6.268422112043481e-06,4.985168743587565e-06,9.760707143868785e-06,0.0,0.9959969584775235,0.5050505,0.0070932424,-0.008068146858068727,0.005907867,210000000000.0
9,78,6.268422112043481e-06,4.985168743587565e-06,9.760707143868785e-06,0.0,0.9959969584775235,0.5555556,0.0085242465,0.019044998254386557,0.0073004384,210000000000.0
9,78,6.268422112043481e-06,4.985168743587565e-06,9.760707143868785e-06,0.0,0.9959969584775235,0.6060606,0.010075219,0.009719916305102497,0.008816942,210000000000.0
9,78,6.268422112043481e-06,4.985168743587565e-06,9.760707143868785e-06,0.0,0.9959969584775235,0.65656567,0.011743447,0.030558207631002157,0.010454783,210000000000.0
9,78,6.268422112043481e-06,4.985168743587565e-06,9.760707143868785e-06,0.0,0.9959969584775235,0.7070707,0.0135262525,0.019689249858256624,0.012210947,210000000000.0
9,78,6.268422112043481e-06,4.985168743587565e-06,9.760707143868785e-06,0.0,0.9959969584775235,0.75757575,0.015420986,0.017493030405694398,0.014082928,210000000000.0
9,78,6.268422112043481e-06,4.985168743587565e-06,9.760707143868785e-06,0.0,0.9959969584775235,0.8080808,0.017425029,0.012521061266731543,0.016067822,210000000000.0
9,78,6.268422112043481e-06,4.985168743587565e-06,9.760707143868785e-06,0.0,0.9959969584775235,0.85858583,0.019535795,0.029922619357505956,0.018162942,210000000000.0
9,78,6.268422112043481e-06,4.985168743587565e-06,9.760707143868785e-06,0.0,0.9959969584775235,0.90909094,0.02175073,0.01797417314204279,0.020365963,210000000000.0
9,78,6.268422112043481e-06,4.985168743587565e-06,9.760707143868785e-06,0.0,0.9959969584775235,0.959596,0.024067303,0.03577800082255211,0.022673825,210000000000.0
9,78,6.268422112043481e-06,4.985168743587565e-06,9.760707143868785e-06,0.0,0.9959969584775235,1.010101,0.026483024,0.02351153160625324,0.025084132,210000000000.0
9,78,6.268422112043481e-06,4.985168743587565e-06,9.760707143868785e-06,0.0,0.9959969584775235,1.0606061,0.02899543,0.030382511875706765,0.027594335,210000000000.0
9,78,6.268422112043481e-06,4.985168743587565e-06,9.760707143868785e-06,0.0,0.9959969584775235,1.1111112,0.03160209,0.020244053083063197,0.030201994,210000000000.0
9,78,6.268422112043481e-06,4.985168743587565e-06,9.760707143868785e-06,0.0,0.9959969584775235,1.1616161,0.03430059,0.051779430796578096,0.03290447,210000000000.0
9,78,6.268422112043481e-06,4.985168743587565e-06,9.760707143868785e-06,0.0,0.9959969584775235,1.2121212,0.037088588,0.03638722000630214,0.035699412,210000000000.0
9,78,6.268422112043481e-06,4.985168743587565e-06,9.760707143868785e-06,0.0,0.9959969584775235,1.2626262,0.03996371,0.037091036307426585,0.03858425,210000000000.0
9,78,6.268422112043481e-06,4.985168743587565e-06,9.760707143868785e-06,0.0,0.9959969584775235,1.3131313,0.042923674,0.0489720176310287,0.041556835,210000000000.0
9,78,6.268422112043481e-06,4.985168743587565e-06,9.760707143868785e-06,0.0,0.9959969584775235,1.3636364,0.045966197,0.03931719904570693,0.04461463,210000000000.0
9,78,6.268422112043481e-06,4.985168743587565e-06,9.760707143868785e-06,0.0,0.9959969584775235,1.4141414,0.04908903,0.05481482811803049,0.04775514,210000000000.0
9,78,6.268422112043481e-06,4.985168743587565e-06,9.760707143868785e-06,0.0,0.9959969584775235,1.4646465,0.05228995,0.04355333178426474,0.05097652,210000000000.0
9,78,6.268422112043481e-06,4.985168743587565e-06,9.760707143868785e-06,0.0,0.9959969584775235,1.5151515,0.05556679,0.05963390456935811,0.054276194,210000000000.0
9,78,6.268422112043481e-06,4.985168743587565e-06,9.760707143868785e-06,0.0,0.9959969584775235,1.5656565,0.058917373,0.05112893714802629,0.05765202,210000000000.0
9,78,6.268422112043481e-06,4.985168743587565e-06,9.760707143868785e-06,0.0,0.9959969584775235,1.6161616,0.062339615,0.04863639624679671,0.061101727,210000000000.0
9,78,6.268422112043481e-06,4.985168743587565e-06,9.760707143868785e-06,0.0,0.9959969584775235,1.6666667,0.06583138,0.061402296766161775,0.06462317,210000000000.0
9,78,6.268422112043481e-06,4.985168743587565e-06,9.760707143868785e-06,0.0,0.9959969584775235,1.7171717,0.06939063,0.058470871747219336,0.0682141,210000000000.0
9,78,6.268422112043481e-06,4.985168743587565e-06,9.760707143868785e-06,0.0,0.9959969584775235,1.7676768,0.07301534,0.07714240098982698,0.071872845,210000000000.0
