seed1;seed2;Data_Loss;Physics_Loss;BC_Loss;E_max_diff;R2
9;78;6,268422112043481e-06;4,985168743587565e-06;9,760707143868785e-06;0,0;0,9959969584775235
66;44;6,1808891587133985e-06;1,1792449186032172e-06;7,492055374314077e-06;0,0;0,9960080321352626
43;86;6,787365236959886e-06;2,5374993128934875e-06;9,204719390254468e-06;0,0;0,995601287100641
8;70;7,350759915425442e-06;1,7344299294563825e-06;6,676244993286673e-06;0,0;0,9952945539161712
20;9;8,192073437385261e-06;2,126737172147841e-06;1,014830468193395e-05;0,0;0,9947371289946486
53;98;7,361812095041387e-06;1,5540975937256007e-06;8,421748134423979e-06;0,0;0,9952924190292249
74;76;6,9763414103363175e-06;1,186134795716498e-05;8,781090400589164e-06;0,0;0,9954528447261128
72;79;5,380190941650653e-06;2,613626747915987e-06;8,189361324184574e-06;0,0;0,9965304243329063
51;12;7,562813152617309e-06;2,835626901287469e-06;7,178164196375292e-06;0,0;0,9950967860249557
84;45;6,6251191128685605e-06;2,6789302864926867e-06;6,94827713232371e-06;0,0;0,9957951933133761
50;37;6,184580342960544e-06;4,285253453417681e-06;9,759260137798265e-06;16384,0;0,9960730280758718
18;93;5,610297648672713e-06;4,120142421015771e-06;1,0675850717234425e-05;0,0;0,9962730784884829
78;65;5,327965482138097e-06;1,601923031557817e-06;8,958528269431554e-06;0,0;0,9965231696371496
40;83;6,024066351528745e-06;2,2968986286286963e-06;7,2373877628706396e-06;0,0;0,9961593870021418
55;44;9,244070497516077e-06;1,0671261634342954e-06;4,934750904794782e-06;0,0;0,9939915749787552
45;22;5,167333711142419e-06;2,0725203739857534e-06;9,545898137730546e-06;0,0;0,9966702183589028
9;56;6,267653134273132e-06;8,549364451937436e-07;9,42268979997607e-06;0,0;0,9959974501779547
89;6;4,857398380408995e-06;2,9640762022609124e-06;1,1193250429641921e-05;16384,0;0,9968688181355837
86;83;6,602289886359358e-06;2,2228402940527303e-06;6,436486273742048e-06;16384,0;0,9957079174566352
27;63;6,0099541769886855e-06;9,384080499330594e-07;9,273100658901967e-06;0,0;0,9961272756274845
16;76;6,7829282670572866e-06;8,788535978965228e-07;5,498657628777437e-06;16384,0;0,9955962309206123
70;35;5,575399882218335e-06;2,1621337964461418e-06;9,251942174159922e-06;16384,0;0,9963770379182133
6;98;5,491135652846424e-06;1,4512681900669122e-06;1,0468072105140891e-05;0,0;0,9963668256175389
45;90;5,167068593436852e-06;1,510171159679885e-06;9,472945748711936e-06;0,0;0,9966703896727046
68;78;4,8760448407847434e-06;5,515369139175164e-06;1,0845243195944931e-05;0,0;0,9967619096480445
76;19;6,138956450740807e-06;1,9898827758879634e-06;7,5595635280478746e-06;0,0;0,9959901494708854
36;47;4,832650120079052e-06;1,1699677315846202e-06;7,480275598936714e-06;0,0;0,9969183297284182
50;4;6,1843416006013285e-06;4,3964319047518075e-06;9,324448910774663e-06;0,0;0,9960731785690258
55;15;9,256910743715707e-06;4,2281308765268477e-07;6,452706657000817e-06;16384,0;0,9939832283121554
75;68;4,9934442358789966e-06;2,2737858671462163e-06;9,51837319007609e-06;0,0;0,9967883350710641
93;75;5,0054245548381004e-06;1,6922766690186108e-06;1,0710313290474005e-05;0,0;0,9967438047166571
37;97;6,026682513038395e-06;2,5119036308751674e-06;6,067275990062626e-06;0,0;0,9960840183473443
41;32;5,188286195334513e-06;7,095093792486296e-07;7,334318524954142e-06;0,0;0,9965791365354131
91;37;5,060791863797931e-06;4,6093316541373497e-07;7,681224815314636e-06;16384,0;0,9967116179171482
7;47;4,770337909576483e-06;6,085830591473496e-06;1,0145640771952458e-05;0,0;0,9969472856534759
80;19;5,765900823462289e-06;1,575766191308503e-06;8,398804311582353e-06;0,0;0,9962409602909126
46;13;6,095478511269903e-06;8,969902864919277e-07;7,788835318933707e-06;0,0;0,9960135287674604
69;48;5,125762982061133e-06;3,08722860609123e-06;9,976425644708797e-06;0,0;0,9966645489016884
